"Nro"|"Titulo"|"Descripcion"|"Precio"|"Localidad"|"Ambientes"|"Superficie"|"Telefono"|"Link"
"61"|"Departamento en Venta | Buenos Aires | Pdo. de Moron | Moron | Moron Sur | Gral Mitre al 100 | Piso PB"|"Vendo Depto en PB al Frente - Oportunidad"|" USD 68.000"|"Moron Sur - Moron"|"1"|"34 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7466334--Departamento-en-Venta-en-Pdo.-de-Moron?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"62"|"Departamento en Venta | Capital Federal | Belgrano | Bruno M De Zabala al 1700 | Piso 22"|"Semipiso 170 metros belgrano"|" USD 369.000"|"Belgrano - Capital Federal"|"4"|"170 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7443599--Departamento-de-5-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"63"|"Departamento en Venta | Capital Federal | Palermo | Sanchez De Bustamante al 1200 | Piso 5"|"Excelente Depto 2 Amb. con Amenities"|" USD 143.000"|"Palermo - Capital Federal"|"1"|"57 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7439455--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"64"|"Departamento en Venta | Capital Federal | Caballito | Caballito Norte | Av Directorio al 500 | Piso 1"|"VENDO PISO DE 4 AMB EXCELENTE ESTADO"|" USD 270.000"|"Caballito Norte - Caballito"|"3"|"111 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7465581--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"65"|"Departamento en Venta | Capital Federal | Flores | Varela  al 600 | Piso 8"|"Excelente Semipiso A Estrenar De 2 Ambientes Divisible A 3"|" USD 82.000"|"Flores - Capital Federal"|"1"|"52 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7465448--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"66"|"Departamento en Venta | Capital Federal | Caballito | Felipe Vallese al 700 | Piso 9"|"Vendo departamento 3 ambientes - EXCELENTE"|" USD 240.000"|"Caballito - Capital Federal"|"2"|"68 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7464559--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"67"|"Departamento en Venta | Capital Federal | Boedo | Pavon al 3700 | Piso 11"|"DIVINO DOS AMBIENTES CON BALCON TERRAZA CON AMENITIES"|" USD 100.003"|"Boedo - Capital Federal"|"1"|"52 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7445850--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"68"|"Departamento en Venta | Capital Federal | Caballito | Dr J F Aranguren al 300"|"EXCELENTE DEPTO CON JARDIN - FINANCIO-"|" USD 125.000"|"Caballito - Capital Federal"|"No informa"|"90 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7436244--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"69"|"Departamento en Venta | Buenos Aires | Pdo. de Moron | Haedo | Haedo Norte | Caseros al 900"|"Excelente departamento de dos ambientes a Estrenar!!!"|" USD 58.000"|"Haedo Norte - Haedo"|"1"|"38 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7456796--Departamento-en-Venta-en-Pdo.-de-Moron?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"70"|"Departamento en Venta | Capital Federal | Barrio Norte | Av. Córdoba  al 3300 | Piso 10"|"DUEÑO DIRECTO - 3 dormitorios - Muy luminoso"|" USD 147.000"|"Barrio Norte - Capital Federal"|"3"|"80 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7453143--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"71"|"Departamento en Venta | Capital Federal | Almagro | Almagro Norte | Bartolomé Mitre al 4000 | Piso 5"|"depto 3 amb, 2 baños, com/diar y lav, totalmente pintado y plastificado en dormitorios y livig/com"|" USD 135.000"|"Almagro Norte - Almagro"|"2"|"63 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7432720--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"72"|"Departamento en Venta | Capital Federal | Villa del Parque | Juan A Garcia al 2900"|"DUEÑO Vende Dpto 2 AMB 49 mts  IMPECABLE"|" USD 102.000"|"Villa del Parque - Capital Federal"|"1"|"45 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463870--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"73"|"Departamento en Venta | Capital Federal | Barrio Norte | Recoleta | Billinghurst al 1100"|"A Estrenar Billinghurst 1160  Monoambiente de 48m2 en Barrio Norte"|" USD 99.900"|"Recoleta - Barrio Norte"|"No informa"|"48 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7459540--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"74"|"Departamento en Venta | Capital Federal | Caballito | Caballito Sur | Av Directorio al 600"|"Vendo hermoso depto 2 ambientes al frente c/balcón y coch Edif Categ c/amenities"|" USD 145.000"|"Caballito Sur - Caballito"|"1"|"40 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7456864--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"75"|"Departamento en Venta | Capital Federal | Palermo | Palermo Hollywood | Dr E Ravignani al 1300 | Piso 4"|"DEPARTAMENTO EN VENTA 3 AMB CAP.FED.PALERMO HOLLYWOOD RAVIGNANI 1300"|" USD 180.400"|"Palermo Hollywood - Palermo"|"2"|"74 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7436084--Departamento-de-3-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"76"|"Departamento en Venta | Capital Federal | Balvanera | Tucuman al 500 | Piso 4"|"DEPTO APTO PROFESIONAL"|" USD 77.000"|"Balvanera - Capital Federal"|"Monoambiente"|"33 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7441772--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"77"|"Departamento en Venta | Capital Federal | Palermo | Palermo Hollywood | Cnel Arevalo al 1300 | Piso 3"|"DEPARTAMENTO EN VENTA 2 AMB CABA PALERMO AREVALO 1300"|" USD 116.500"|"Palermo Hollywood - Palermo"|"1"|"63 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7436073--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"78"|"Departamento en Venta | Capital Federal | Caballito | Av Dr N Avellaneda al 500 | Piso 1"|"DEPARTAMENTO 3 AMBIENTE CON COCHERA"|" USD 190.000"|"Caballito - Capital Federal"|"2"|"72 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7442785--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"79"|"Departamento en Venta | Capital Federal | Villa del Parque | Campana al 3000"|"Villa del Parque 1 ambiente apto profesional. Excelente ubicación"|" USD 58.000"|"Villa del Parque - Capital Federal"|"Monoambiente"|"24 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7425805--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"80"|"Departamento en Venta | Capital Federal | Belgrano | Belgrano R | Mendoza al 3100"|"Vendo Depto. excelente estado"|" USD 140.000"|"Belgrano R - Belgrano"|"2"|"63 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7455500--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"81"|"Departamento en Venta | Capital Federal | Centro | Tribunales | Parana al 400 | Piso 12"|"1AMB SUPERLUM CFTE A MTS AV CORRIENTES COMO A ESTR APTO VIV/ PROF U$S 48.000 OPORT!!!"|" USD 48.000"|"Tribunales - Centro"|"Monoambiente"|"24 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7467660--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=4&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"82"|"Departamento en Venta | Capital Federal | Palermo | Botanico | Av Santa Fe al 4000 | Piso 9"|"MAGNIFICO SEMIPISO INCREIBLE VISTA ABSOLUTAMENTE VERDE"|" USD 610.000"|"Botanico - Palermo"|"4"|"198 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7435960--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"83"|"Departamento en Venta | Capital Federal | Belgrano | J De Amenabar al 2500"|"DUEÑO VENDE DEPTO 4/5 DORM + DEP + BAULERA"|" USD 288.000"|"Belgrano - Capital Federal"|"4"|"140 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7445854--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"84"|"Departamento en Venta | Capital Federal | Almagro | Almagro Norte | B Mitre al 4100 | Piso pb"|"Almagro N - B.MITRE 4100 -2 AMB.DUEÑO VENDE"|" USD 80.000"|"Almagro Norte - Almagro"|"1"|"49 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7470109--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"85"|"Departamento en Venta | Capital Federal | Caballito | Caballito Sur | Benjamin Viel al 1100 | Piso 4"|"Dueño Vende Depto 2 amb. Al frente c/ balcón vista abierta panorámica, super luminoso. Sin Comisión"|" USD 77.000"|"Caballito Sur - Caballito"|"1"|"36,5 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7447502--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"86"|"Departamento en Venta | Buenos Aires | Pdo. de Avellaneda | Avellaneda | Dr A Alsina al 100"|"Alsina 100"|" USD 160.000"|"Avellaneda - Buenos Aires"|"2"|"100 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463863--Departamento-en-Venta-en-Pdo.-de-Avellaneda?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"87"|"Departamento en Venta | Buenos Aires | Pdo. de Avellaneda | Sarandi | Cnel Brandsen al 2700"|"Departamento de 3 ambientes al frente UNICO a estrenar"|" USD 105.000"|"Sarandi - Buenos Aires"|"2"|"60 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7446765--Departamento-en-Venta-en-Pdo.-de-Avellaneda?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"88"|"Departamento en Venta | Capital Federal | Belgrano | 11 De Septiembre al 2500 | Piso 3"|"AMENITIES, COCHERA Y SEGURIDAD 24 HS."|" USD 248.000"|"Belgrano - Capital Federal"|"2"|"74 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7439609--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"89"|"Departamento en Venta | Capital Federal | Villa Crespo | V Camargo al 500 | Piso 1"|"Espectac. Torre 3 amb. frente a estrenar, mucha luz"|" USD 175.000"|"Villa Crespo - Capital Federal"|"2"|"75 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7456834--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"90"|"Departamento en Venta | Buenos Aires | Pdo. de San Fernando | Victoria | CONSTITUCION  2889 .  Esq. AMBROSONI | Piso 4"|"3 AMB - FRENTE A  LA  PLAZA  - MUY LUMINOSO - CON COCHERA"|" USD 115.000"|"Victoria - Buenos Aires"|"2"|"59 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7456042--Departamento-en-Venta-en-Pdo.-de-San-Fernando?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"91"|"Departamento en Venta | Capital Federal | Villa del Parque | Claudio M Cuenca al 2800"|"Depto en Villa del Parque - Dueño Vende -"|" USD 79.900"|"Villa del Parque - Capital Federal"|"1"|"29 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7455514--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"92"|"Departamento en Venta | Capital Federal | Palermo | Palermo Soho | Av Scalabrini Ortiz al 1400 | Piso 4"|"Excel mono amb. divisible 43m a estrenar, mucha luz"|" USD 105.000"|"Palermo Soho - Palermo"|"Monoambiente"|"43 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7453015--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"93"|"Departamento en Venta | Buenos Aires | Pdo. de Avellaneda | Sarandi | Cnel Brandsen al 2700"|"Departamento de 2 ambientes UNICO a estrenar"|" USD 73.130"|"Sarandi - Buenos Aires"|"1"|"40 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7446778--Departamento-en-Venta-en-Pdo.-de-Avellaneda?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"94"|"Departamento en Venta | Capital Federal | Palermo | Castex al 3400 | Piso 6"|"Palermo chico, 3 dorm suite c/depend.+ 2 coch. + baulera"|" USD 530.000"|"Palermo - Capital Federal"|"3"|"200 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7444193--Departamento-de-4-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"95"|"Departamento en Venta | Buenos Aires | Pdo. de Vicente Lopez | Olivos | Olivos Maipu/Uzal | Ricardo Gutierrez al 1500"|"Olivos Centro 2 amb c/patio"|" USD 106.000"|"Olivos Maipu/Uzal - Olivos"|"1"|"42 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7433688--Departamento-en-Venta-en-Pdo.-de-Vicente-Lopez?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"96"|"Departamento en Venta | Capital Federal | San Cristobal | SOLIS  al 1500"|"DUEÑO VENDE - SOLIS 1500"|" USD 115.000"|"San Cristobal - Capital Federal"|"1"|"71 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7466865--Departamento-de-3-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"97"|"Departamento en Venta | Capital Federal | Balvanera | Venezuela al 100 | Piso 3"|"3 amb y medio piso parquet, Cerca San telmo"|" USD 105.000"|"Balvanera - Capital Federal"|"2"|"67 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7447938--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"98"|"Departamento en Venta | Capital Federal | Floresta | Monte Castro | Av Lope De Vega  al 1300 | Piso 3"|"Departamento 3 amb. c/ terraza. Dueño directo"|" USD 99.000"|"Monte Castro - Floresta"|"2"|"114 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7444402--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"99"|"Departamento en Venta | Buenos Aires | Pdo. de Hurlingham | Villa Santos Tesei | Angel Acuña al 1100 | Piso 1"|"Depto en Villa Tesei - Excelente monoambiente 29 M2 con división en durlock"|" $ 470.000"|"Villa Santos Tesei - Buenos Aires"|"Monoambiente"|"29 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7435818--Departamento-en-Venta-en-Pdo.-de-Hurlingham?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"100"|"Departamento en Venta | Buenos Aires | Pdo. de San Isidro | San Isidro | Chile entre 0 y 100 | Piso 7"|"Dueño Vende depto 3amb c/cochera"|" USD 130.000"|"San Isidro - Buenos Aires"|"2"|"53 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7094034--Departamento-de-3-Ambientes-en-Venta-en-Pdo.-de-San-Isidro?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"101"|"Departamento en Venta | Capital Federal | Floresta | Cajaravilla al 4300 | Piso PB"|"Vendo Departamento Planta Baja 70m2 con patio y SUM en Floresta"|" $ 1.050.000"|"Floresta - Capital Federal"|"1"|"46 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7442902--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=5&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"102"|"Departamento en Venta | Buenos Aires | Pdo. de Villa Gesell | Villa Gesell | Paseo 123 entre 0 y 100 | Piso PB"|"DUEÑO - DTO. 2 AMB. PLANTA BAJA AL FRENTE, 50 MTS. DEL MAR"|" USD 43.000"|"Villa Gesell - Buenos Aires"|"1"|"24 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7440008--Departamento-en-Venta-en-Pdo.-de-Villa-Gesell?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"103"|"Departamento en Venta | Capital Federal | Caballito | Av La Plata al 600"|"Vendo Depto. 2 amientes con cochera"|" USD 114.000"|"Caballito - Capital Federal"|"1"|"45 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7439171--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"104"|"Departamento en Venta | Capital Federal | Barrio Norte | Recoleta | Billinghurst al 1100 | Piso PB "|"Departamento con jardín y árboles en la ciudad -Dueño Directo- -"|" USD 240.000"|"Recoleta - Barrio Norte"|"2"|"78 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7465125--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"105"|"Departamento en Venta | Buenos Aires | Pdo. de Vicente Lopez | Florida | Florida Mitre/Este | España al 1600 | Piso 6"|"Departamento 3 amb - Florida - Dueño Directo"|" USD 139.000"|"Florida Mitre/Este - Florida"|"2"|"66 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7458439--Departamento-en-Venta-en-Pdo.-de-Vicente-Lopez?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"106"|"Departamento en Venta | Buenos Aires | Pdo. de San Isidro | San Isidro | Ruben Dario al 3400"|"DUPLEX EN PUNTA CHICA A ESTREN LIBERTADOR A RIO  4 AMB DE CATEG C/ JARDIN, PARR, PILE, COCH S/GASTOS"|" USD 290.000"|"San Isidro - Buenos Aires"|"3"|"180 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7442593--Departamento-en-Venta-en-Pdo.-de-San-Isidro?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"107"|"Departamento en Venta | Capital Federal | Caballito | Av Alberdi al 1600 | Piso 10"|"HERMOSO DEPARTAMENTO DE 3 AMBIENTES EN DUPLEX. OPCIONAL COCHERA"|" USD 235.000"|"Caballito - Capital Federal"|"2"|"80 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7442495--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"108"|"Departamento en Venta | Capital Federal | Villa Crespo | Gral Eustaquio Frias al 400 | Piso 2"|"EXCELENTE 3 AMBIENTES COCHERA PQUE CENTENARIO"|" USD 149.000"|"Villa Crespo - Capital Federal"|"2"|"58 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7440445--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"109"|"Departamento en Venta | Capital Federal | San Telmo | Perú al 800"|"Depto original  3 ambientes muy bien ubicado"|" USD 110.000"|"San Telmo - Capital Federal"|"2"|"50 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7464614--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"110"|"Departamento en Venta | Capital Federal | Villa Pueyrredon | vallejos  al 2600"|"DUEÑO VENDE AMPLIO,LUMINOSO Y MODERNO 3 AMB"|" USD 149.000"|"Villa Pueyrredon - Capital Federal"|"2"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7464102--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"111"|"Departamento en Venta | Capital Federal | Flores | Flores Sur | Av San Pedrito al 700 | Piso 3"|"Departamento en venta 2 Amb. Flores"|" USD 62.000"|"Flores Sur - Flores"|"1"|"54 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7462245--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"112"|"Departamento en Venta | Capital Federal | Paternal | Dr L Belaustegui al 800 | Piso PB"|"Venta departamento de dos ambientes con patio y cocina independiente"|" USD 69.500"|"Paternal - Capital Federal"|"1"|"42 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7455275--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"113"|"Departamento en Venta | Capital Federal | Palermo | J Salguero al 1700 | Piso 10"|"3 amb vista Arboleda de Plaza Guemez"|" USD 210.000"|"Palermo - Capital Federal"|"2"|"77 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7447931--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"114"|"Departamento en Venta | Capital Federal | Caballito | Parque Rivadavia | Juan B Ambrosetti al 200"|"Departamento 4 ambientes en Caballito.De Estilo Reciclado A Nuevo."|" USD 280.000"|"Parque Rivadavia - Caballito"|"2"|"120 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7445253--Departamento-de-4-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"115"|"Departamento en Venta | Buenos Aires | Pdo. de Vicente Lopez | Florida | Florida Mitre/Este | Remedios Escalada de San Martín al 1700"|"DUEÑO VENDE departamento en excelente estado"|" USD 128.000"|"Florida Mitre/Este - Florida"|"3"|"64 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7436404--Departamento-en-Venta-en-Pdo.-de-Vicente-Lopez?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"116"|"Departamento en Venta | Buenos Aires | Pdo. de General Pueyrredon | Mar Del Plata | Av Alte G Brown al 1500 | Piso 5"|"DUEñO VENDE 1 AMB IMPECABLE , IDEAL INVERSION"|" USD 39.000"|"Mar Del Plata - Buenos Aires"|"Monoambiente"|"24 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7468211--Departamento-en-Venta-en-Pdo.-de-General-Pueyrredon?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"117"|"Departamento en Venta | Capital Federal | Centro | Puerto Madero | Marta Lynch al 400"|"Espectacular Departamento en Renoir II piso alto. RIO"|" USD 1.050.000"|"Puerto Madero - Centro"|"2"|"188 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7453074--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"118"|"Departamento en Venta | Capital Federal | Centro | Puerto Madero | Marta Lynch al 400"|"Excelente Departamento en Renoir II. SOL"|" USD 1.401.000"|"Puerto Madero - Centro"|"3"|"214,4 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7453067--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"119"|"Departamento en Venta | Capital Federal | Balvanera | Bat De Rincon al 600 | Piso 3"|"Oportunidad dueño directo"|" USD 58.000"|"Balvanera - Capital Federal"|"1"|"34,4 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7437841--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=6&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
